Day,Date,Activity_Order,Activity,Duration_Hours,Description,Tips,Focus_Areas
Monday,2025-12-23,1,Reading,0.5,Read Mathematics theory and concepts,Take notes while reading; Highlight key concepts; Ask questions about unclear topics,Algebra
Monday,2025-12-23,2,Break,0.25,"Short break - stretch, hydrate",Step away from study area; Do light physical activity,Algebra
Monday,2025-12-23,3,Practice,1.5,Solve Mathematics problems and exercises,Start with easier problems; Time yourself; Check solutions carefully,Algebra
Monday,2025-12-23,4,Break,0.25,Medium break - refresh mind,Get fresh air if possible; Have a healthy snack,Algebra
Monday,2025-12-23,5,Revision,1.0,Review and consolidate Mathematics learning,Summarize key points; Test yourself; Connect new concepts with previous knowledge,Algebra
Tuesday,2025-12-24,1,Reading,0.5,Read Mathematics theory and concepts,Take notes while reading; Highlight key concepts; Ask questions about unclear topics,Quadratic Equations
Tuesday,2025-12-24,2,Break,0.25,"Short break - stretch, hydrate",Step away from study area; Do light physical activity,Quadratic Equations
Tuesday,2025-12-24,3,Practice,1.5,Solve Mathematics problems and exercises,Start with easier problems; Time yourself; Check solutions carefully,Quadratic Equations
Tuesday,2025-12-24,4,Break,0.25,Medium break - refresh mind,Get fresh air if possible; Have a healthy snack,Quadratic Equations
Tuesday,2025-12-24,5,Revision,1.0,Review and consolidate Mathematics learning,Summarize key points; Test yourself; Connect new concepts with previous knowledge,Quadratic Equations
Wednesday,2025-12-25,1,Reading,0.5,Read Mathematics theory and concepts,Take notes while reading; Highlight key concepts; Ask questions about unclear topics,Pythagoras Theorem
Wednesday,2025-12-25,2,Break,0.25,"Short break - stretch, hydrate",Step away from study area; Do light physical activity,Pythagoras Theorem
Wednesday,2025-12-25,3,Practice,1.5,Solve Mathematics problems and exercises,Start with easier problems; Time yourself; Check solutions carefully,Pythagoras Theorem
Wednesday,2025-12-25,4,Break,0.25,Medium break - refresh mind,Get fresh air if possible; Have a healthy snack,Pythagoras Theorem
Wednesday,2025-12-25,5,Revision,1.0,Review and consolidate Mathematics learning,Summarize key points; Test yourself; Connect new concepts with previous knowledge,Pythagoras Theorem
Thursday,2025-12-26,1,Reading,0.5,Read Mathematics theory and concepts,Take notes while reading; Highlight key concepts; Ask questions about unclear topics,Algebra
Thursday,2025-12-26,2,Break,0.25,"Short break - stretch, hydrate",Step away from study area; Do light physical activity,Algebra
Thursday,2025-12-26,3,Practice,1.5,Solve Mathematics problems and exercises,Start with easier problems; Time yourself; Check solutions carefully,Algebra
Thursday,2025-12-26,4,Break,0.25,Medium break - refresh mind,Get fresh air if possible; Have a healthy snack,Algebra
Thursday,2025-12-26,5,Revision,1.0,Review and consolidate Mathematics learning,Summarize key points; Test yourself; Connect new concepts with previous knowledge,Algebra
Friday,2025-12-27,1,Reading,0.5,Read Mathematics theory and concepts,Take notes while reading; Highlight key concepts; Ask questions about unclear topics,Algebra
Friday,2025-12-27,2,Break,0.25,"Short break - stretch, hydrate",Step away from study area; Do light physical activity,Algebra
Friday,2025-12-27,3,Practice,1.5,Solve Mathematics problems and exercises,Start with easier problems; Time yourself; Check solutions carefully,Algebra
Friday,2025-12-27,4,Break,0.25,Medium break - refresh mind,Get fresh air if possible; Have a healthy snack,Algebra
Friday,2025-12-27,5,Revision,1.0,Review and consolidate Mathematics learning,Summarize key points; Test yourself; Connect new concepts with previous knowledge,Algebra
Saturday,2025-12-28,1,Reading,0.5,Read Mathematics theory and concepts,Take notes while reading; Highlight key concepts; Ask questions about unclear topics,Algebra
Saturday,2025-12-28,2,Break,0.25,"Short break - stretch, hydrate",Step away from study area; Do light physical activity,Algebra
Saturday,2025-12-28,3,Practice,1.5,Solve Mathematics problems and exercises,Start with easier problems; Time yourself; Check solutions carefully,Algebra
Saturday,2025-12-28,4,Break,0.25,Medium break - refresh mind,Get fresh air if possible; Have a healthy snack,Algebra
Saturday,2025-12-28,5,Revision,1.0,Review and consolidate Mathematics learning,Summarize key points; Test yourself; Connect new concepts with previous knowledge,Algebra
Sunday,2025-12-29,1,Reading,0.5,Read Mathematics theory and concepts,Take notes while reading; Highlight key concepts; Ask questions about unclear topics,Algebra; Quadratic Equations
Sunday,2025-12-29,2,Break,0.25,"Short break - stretch, hydrate",Step away from study area; Do light physical activity,Algebra; Quadratic Equations
Sunday,2025-12-29,3,Practice,1.5,Solve Mathematics problems and exercises,Start with easier problems; Time yourself; Check solutions carefully,Algebra; Quadratic Equations
Sunday,2025-12-29,4,Break,0.25,Medium break - refresh mind,Get fresh air if possible; Have a healthy snack,Algebra; Quadratic Equations
Sunday,2025-12-29,5,Revision,1.0,Review and consolidate Mathematics learning,Summarize key points; Test yourself; Connect new concepts with previous knowledge,Algebra; Quadratic Equations
