Day,Date,Activity_Order,Activity,Duration_Hours,Description,Tips,Focus_Areas
Monday,2025-12-30,1,Quick Review,0.25,Quick review of previous Mathematics topics,Review flashcards; Skim through notes; Identify weak areas,Algebra fundamentals; Linear equations
Monday,2025-12-30,2,Intensive Practice,1.5,Solve Mathematics exam-style problems,Time yourself strictly; Practice past exam questions; Focus on problem-solving speed,Algebra fundamentals; Linear equations
Monday,2025-12-30,3,Short Break,0.25,Quick energy break,Do breathing exercises; Stay hydrated,Algebra fundamentals; Linear equations
Monday,2025-12-30,4,Targeted Reading,0.5,Study difficult Mathematics concepts,Focus on exam syllabus; Make concise notes; Understand rather than memorize,Algebra fundamentals; Linear equations
Monday,2025-12-30,5,Active Revision,1.0,Test knowledge and fill gaps,Self-testing; Create mind maps; Explain concepts aloud,Algebra fundamentals; Linear equations
Tuesday,2025-12-31,1,Quick Review,0.25,Quick review of previous Mathematics topics,Review flashcards; Skim through notes; Identify weak areas,Geometry concepts; Area and volume
Tuesday,2025-12-31,2,Intensive Practice,1.5,Solve Mathematics exam-style problems,Time yourself strictly; Practice past exam questions; Focus on problem-solving speed,Geometry concepts; Area and volume
Tuesday,2025-12-31,3,Short Break,0.25,Quick energy break,Do breathing exercises; Stay hydrated,Geometry concepts; Area and volume
Tuesday,2025-12-31,4,Targeted Reading,0.5,Study difficult Mathematics concepts,Focus on exam syllabus; Make concise notes; Understand rather than memorize,Geometry concepts; Area and volume
Tuesday,2025-12-31,5,Active Revision,1.0,Test knowledge and fill gaps,Self-testing; Create mind maps; Explain concepts aloud,Geometry concepts; Area and volume
Wednesday,2026-01-01,1,Quick Review,0.25,Quick review of previous Mathematics topics,Review flashcards; Skim through notes; Identify weak areas,Calculus basics; Derivatives
Wednesday,2026-01-01,2,Intensive Practice,1.5,Solve Mathematics exam-style problems,Time yourself strictly; Practice past exam questions; Focus on problem-solving speed,Calculus basics; Derivatives
Wednesday,2026-01-01,3,Short Break,0.25,Quick energy break,Do breathing exercises; Stay hydrated,Calculus basics; Derivatives
Wednesday,2026-01-01,4,Targeted Reading,0.5,Study difficult Mathematics concepts,Focus on exam syllabus; Make concise notes; Understand rather than memorize,Calculus basics; Derivatives
Wednesday,2026-01-01,5,Active Revision,1.0,Test knowledge and fill gaps,Self-testing; Create mind maps; Explain concepts aloud,Calculus basics; Derivatives
Thursday,2026-01-02,1,Quick Review,0.25,Quick review of previous Mathematics topics,Review flashcards; Skim through notes; Identify weak areas,Statistics; Probability
Thursday,2026-01-02,2,Intensive Practice,1.5,Solve Mathematics exam-style problems,Time yourself strictly; Practice past exam questions; Focus on problem-solving speed,Statistics; Probability
Thursday,2026-01-02,3,Short Break,0.25,Quick energy break,Do breathing exercises; Stay hydrated,Statistics; Probability
Thursday,2026-01-02,4,Targeted Reading,0.5,Study difficult Mathematics concepts,Focus on exam syllabus; Make concise notes; Understand rather than memorize,Statistics; Probability
Thursday,2026-01-02,5,Active Revision,1.0,Test knowledge and fill gaps,Self-testing; Create mind maps; Explain concepts aloud,Statistics; Probability
Friday,2026-01-03,1,Quick Review,0.25,Quick review of previous Mathematics topics,Review flashcards; Skim through notes; Identify weak areas,Problem-solving practice; Mixed exercises
Friday,2026-01-03,2,Intensive Practice,1.5,Solve Mathematics exam-style problems,Time yourself strictly; Practice past exam questions; Focus on problem-solving speed,Problem-solving practice; Mixed exercises
Friday,2026-01-03,3,Short Break,0.25,Quick energy break,Do breathing exercises; Stay hydrated,Problem-solving practice; Mixed exercises
Friday,2026-01-03,4,Targeted Reading,0.5,Study difficult Mathematics concepts,Focus on exam syllabus; Make concise notes; Understand rather than memorize,Problem-solving practice; Mixed exercises
Friday,2026-01-03,5,Active Revision,1.0,Test knowledge and fill gaps,Self-testing; Create mind maps; Explain concepts aloud,Problem-solving practice; Mixed exercises
Saturday,2026-01-04,1,Quick Review,0.25,Quick review of previous Mathematics topics,Review flashcards; Skim through notes; Identify weak areas,Review weak areas; Practice tests
Saturday,2026-01-04,2,Intensive Practice,1.5,Solve Mathematics exam-style problems,Time yourself strictly; Practice past exam questions; Focus on problem-solving speed,Review weak areas; Practice tests
Saturday,2026-01-04,3,Short Break,0.25,Quick energy break,Do breathing exercises; Stay hydrated,Review weak areas; Practice tests
Saturday,2026-01-04,4,Targeted Reading,0.5,Study difficult Mathematics concepts,Focus on exam syllabus; Make concise notes; Understand rather than memorize,Review weak areas; Practice tests
Saturday,2026-01-04,5,Active Revision,1.0,Test knowledge and fill gaps,Self-testing; Create mind maps; Explain concepts aloud,Review weak areas; Practice tests
Sunday,2026-01-05,1,Quick Review,0.25,Quick review of previous Mathematics topics,Review flashcards; Skim through notes; Identify weak areas,Comprehensive review; Prepare for next week
Sunday,2026-01-05,2,Intensive Practice,1.5,Solve Mathematics exam-style problems,Time yourself strictly; Practice past exam questions; Focus on problem-solving speed,Comprehensive review; Prepare for next week
Sunday,2026-01-05,3,Short Break,0.25,Quick energy break,Do breathing exercises; Stay hydrated,Comprehensive review; Prepare for next week
Sunday,2026-01-05,4,Targeted Reading,0.5,Study difficult Mathematics concepts,Focus on exam syllabus; Make concise notes; Understand rather than memorize,Comprehensive review; Prepare for next week
Sunday,2026-01-05,5,Active Revision,1.0,Test knowledge and fill gaps,Self-testing; Create mind maps; Explain concepts aloud,Comprehensive review; Prepare for next week
